"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"742610";"Binnen";"2330_bu";1;2017-07-17;"Atlantic";"vegetatieopname";2017;25;16,7230246124945;5853
"808146";"Binnen";"2330_bu";1;2017-07-17;"Atlantic";"vegetatieopname";2017;26;16,7230246124945;5853
"821462";"Binnen";"2330_bu";0,999970507446378;2016-10-21;"Atlantic";"vegetatieopname";2016;27;16,7230246124945;5853
"877942";"Binnen";"2330_bu";0,999970507446378;2016-09-30;"Atlantic";"vegetatieopname";2016;28;16,7230246124945;5853
"884342";"Binnen";"2330_bu";0,999970507446378;2016-10-05;"Atlantic";"vegetatieopname";2016;29;16,7230246124945;5853
"937682";"Binnen";"2330_bu";1;2017-07-28;"Atlantic";"vegetatieopname";2017;30;16,7230246124945;5853
"963294";"Binnen";"2330_bu";0,999970507446378;2016-09-19;"Atlantic";"vegetatieopname";2016;31;16,7230246124945;5853
"976246";"Binnen";"2310";0,999970507446378;2016-09-28;"Atlantic";"vegetatieopname";2016;52;41,4513647749938;21555
"1003230";"Binnen";"2330_bu";0,999970507446378;2016-09-15;"Atlantic";"vegetatieopname";2016;32;16,7230246124945;5853
"1043410";"Binnen";"2330_bu";1;2017-07-28;"Atlantic";"vegetatieopname";2017;33;16,7230246124945;5853
"1076854";"Binnen";"2330_bu";0,999970507446378;2016-10-04;"Atlantic";"vegetatieopname";2016;34;16,7230246124945;5853
"1085366";"Binnen";"2330_bu";0,683402483695316;2017-07-20;"Atlantic";"vegetatieopname";2017;35;16,7230246124945;5853
"1092434";"Binnen";"2330_bu";1;2017-07-10;"Atlantic";"vegetatieopname";2017;36;16,7230246124945;5853
"1110750";"Binnen";"2330_bu";0,999970507446378;2016-10-03;"Atlantic";"vegetatieopname";2016;37;16,7230246124945;5853
