"Meetnet";"ID";"Habitattype";"Habitatsubtype";"Versie";"Regio";"PolygonWeight";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"PINK";"Polygoon202";"2110";"2110";"Versie 2.0";"Atlantic";1325;3;4;0;75;1
"PINK";"Polygoon202";"2110";"2110";"Versie 3";"Atlantic";1325;4;5;0;80;1
"PINK";"Polygoon203";"2110";"2110";"Versie 2.0";"Atlantic";964;3;4;0;75;1
"PINK";"Polygoon203";"2110";"2110";"Versie 3";"Atlantic";964;4;5;0;80;1
"PINK";"Polygoon204";"2110";"2110";"Versie 2.0";"Atlantic";440;3;4;0;75;1
"PINK";"Polygoon204";"2110";"2110";"Versie 3";"Atlantic";440;4;5;0;80;1
"PINK";"Polygoon205";"2110";"2110";"Versie 2.0";"Atlantic";1860;4;4;0;100;1
"PINK";"Polygoon205";"2110";"2110";"Versie 3";"Atlantic";1860;5;5;0;100;1
"PINK";"Polygoon206";"2110";"2110";"Versie 2.0";"Atlantic";140;4;4;0;100;1
"PINK";"Polygoon206";"2110";"2110";"Versie 3";"Atlantic";140;5;5;0;100;1
"PINK";"Polygoon207";"2110";"2110";"Versie 2.0";"Atlantic";260;2;4;0;50;0
"PINK";"Polygoon207";"2110";"2110";"Versie 3";"Atlantic";260;3;5;0;60;1
"PINK";"Polygoon208";"2110";"2110";"Versie 2.0";"Atlantic";9915;3;4;0;75;1
"PINK";"Polygoon208";"2110";"2110";"Versie 3";"Atlantic";9915;4;5;0;80;1
"PINK";"Polygoon209";"2110";"2110";"Versie 2.0";"Atlantic";11313;3;4;0;75;1
"PINK";"Polygoon209";"2110";"2110";"Versie 3";"Atlantic";11313;3;5;0;60;1
"PINK";"Polygoon21";"2110";"2110";"Versie 2.0";"Atlantic";187;2;4;1;50;0
"PINK";"Polygoon21";"2110";"2110";"Versie 3";"Atlantic";187;3;5;1;60;0
"PINK";"Polygoon210";"2110";"2110";"Versie 2.0";"Atlantic";2306;4;4;0;100;1
"PINK";"Polygoon210";"2110";"2110";"Versie 3";"Atlantic";2306;5;5;0;100;1
"PINK";"Polygoon211";"2110";"2110";"Versie 2.0";"Atlantic";279;4;4;0;100;1
"PINK";"Polygoon211";"2110";"2110";"Versie 3";"Atlantic";279;5;5;0;100;1
"PINK";"Polygoon212";"2110";"2110";"Versie 2.0";"Atlantic";7375;3;4;0;75;1
"PINK";"Polygoon212";"2110";"2110";"Versie 3";"Atlantic";7375;4;5;0;80;1
"PINK";"Polygoon213";"2110";"2110";"Versie 2.0";"Atlantic";169;2;4;0;50;0
"PINK";"Polygoon213";"2110";"2110";"Versie 3";"Atlantic";169;3;5;0;60;1
"PINK";"Polygoon214";"2110";"2110";"Versie 2.0";"Atlantic";138;3;4;0;75;1
"PINK";"Polygoon214";"2110";"2110";"Versie 3";"Atlantic";138;4;5;0;80;1
"PINK";"Polygoon215";"2110";"2110";"Versie 2.0";"Atlantic";18;2;4;1;50;0
"PINK";"Polygoon215";"2110";"2110";"Versie 3";"Atlantic";18;3;5;1;60;0
